points_5,points_4,points_3,points_2,points_1
Banded Dotterel,Black Robin,Blue Duck,Northern Royal Albatross,Yellow-eyed penguin
Black Robin,Kākā,Barn Owl,Australasian Crested Grebe,Antipodean Albatross
Kākāpō,Bittern,Yellow-eyed penguin,Bellbird,Blue Duck
Yellow-eyed penguin,Rockhopper Penguin,Stitchbird,Fairy Tern,Black-billed Gull
Kākāpō,NA,NA,NA,NA
Australasian Crested Grebe,Banded Dotterel,Black Robin,Fiordland Crested Penguin,Little Spotted Kiwi
Yellow-eyed penguin,Rockhopper Penguin,Kākā,South Island Kōkako,Kākāpō
Fantail,New Zealand King Shag,Tūī,Morepork,Saddleback
Yellow-eyed penguin,Blue Duck,Fantail,Takahē,Bar-tailed Godwit
Yellow-eyed penguin,Little Spotted Kiwi,The Otago Shag,Southern Brown Kiwi,Fairy Tern
Rockhopper Penguin,Tūī,Mōhua,Little Penguin,Kingfisher
Yellow-eyed penguin,Kākāpō,Mōhua,Southern Brown Kiwi,Little Spotted Kiwi
Kākāpō,Antipodean Albatross,Morepork,Fairy Tern,Shore Plover
Bellbird,Chatham Island Oystercatcher,Kererū,Tūī,Southern Brown Kiwi
Yellow-eyed penguin,Antipodean Albatross,Gibson's Albatross,Black Robin,Mōhua
Banded Dotterel,Kōkako,Barn Owl,Takahē,New Zealand Dotterel
Rock Wren,Yellow-eyed penguin,Wrybill,White Heron,Morepork
Banded Dotterel,Mōhua,Orange-fronted Parakeet,Antipodean Albatross,Rockhopper Penguin
Black Robin,Yellow-eyed penguin,Southern Brown Kiwi,Blue Duck,New Zealand Falcon
New Zealand Robin,Morepork,Stitchbird,Little Penguin,Royal Spoonbill
Tūī,Yellow-eyed penguin,Kākā,Kākāpō,Little Spotted Kiwi
Banded Dotterel,Bellbird,Tomtit,Fantail,Pūkeko
Kākāpō,Fairy Tern,Blue Duck,Wrybill,Rockhopper Penguin
Blue Duck,Bittern,Black shag,Fantail,Shining Cuckoo
Little Penguin,Little Spotted Kiwi,North Island Brown Kiwi,Tūī,Kōkako
Stitchbird,Morepork,New Zealand Robin,Saddleback,Tomtit
Fantail,Fernbird,Southern Brown Kiwi,New Zealand King Shag,Tūī
Kākāpō,Kōkako,Rockhopper Penguin,Stitchbird,Bar-tailed Godwit
Yellow-eyed penguin,South Island Kōkako,Light-mantled Sooty Albatross,Saddleback,Welcome Swallow
Yellow-eyed penguin,Banded Dotterel,Black-fronted Tern,Blue Duck,Fiordland Crested Penguin
Kākāpō,Bellbird,Barn Owl,Antipodean Albatross,Arctic Skua
Little Penguin,Morepork,New Zealand Falcon,New Zealand Robin,Rifleman
Royal Spoonbill,Barn Owl,Kingfisher,Saddleback,Kōkako
Grey Duck,Fantail,Bellbird,Chatham Island Oystercatcher,Southern Brown Kiwi
Yellow-eyed penguin,Kākāpō,Kākā,Mōhua,Fairy Tern
New Zealand Falcon,Tūī,Yellow-eyed penguin,Black Robin,New Zealand Robin
Kākāpō,Morepork,Black Robin,Takahē,Weka
Royal Spoonbill,Kea,Kākā,Morepork,Fiordland Crested Penguin
Morepork,Rockhopper Penguin,Takahē,Orange-fronted Parakeet,Saddleback
Yellow-eyed penguin,Pūkeko,Tūī,Morepork,Little shag
Shining Cuckoo,Takahē,Fantail,Bittern,Kea
Kererū,Kākā,Southern Brown Kiwi,Blue Duck,Morepork
Yellow-eyed penguin,New Zealand Dotterel,Black Robin,Southern Royal Albatross,Northern Royal Albatross
Yellow-eyed penguin,Takahē,Kingfisher,Bellbird,Black-billed Gull
Saddleback,Kea,Kākā,Kākāpō,Kōkako
Tūī,Southern Royal Albatross,Kea,Kākā,Antipodean Albatross
Kea,Yellow-eyed penguin,Kākā,Weka,Kākāpō
Antipodean Albatross,Bittern,Black Petrel,Rifleman,Buller's Mollymawk
Banded Dotterel,Fiordland Crested Penguin,Kea,Kākā,New Zealand Falcon
Banded Dotterel,Yellow-eyed penguin,Rock Wren,New Zealand Falcon,Kōkako
Rock Wren,Black Robin,Silvereye,Kākā,Blue Duck
Little Penguin,New Zealand Falcon,Little Spotted Kiwi,Kingfisher,Rifleman
Yellow-eyed penguin,Whenua Hou Diving Petrel,The Otago Shag,Southern Brown Kiwi,South Island Kōkako
Wrybill,NA,NA,NA,NA
Banded Dotterel,Antipodean Albatross,Stitchbird,Bittern,Black Robin
Tomtit,Blue Duck,Mōhua,Bellbird,Kererū
Kererū,Great Spotted Kiwi,Kea,Fantail,Bellbird
Kākāpō,South Island Kōkako,Tūī,Little Spotted Kiwi,New Zealand Dotterel
Black Robin,Fiordland Crested Penguin,Kākāpō,Morepork,Tūī
Yellow-eyed penguin,Kākā,Brown Teal,Blue Duck,Black Robin
Yellow-eyed penguin,Black Stilt,Fiordland Crested Penguin,Buller's Mollymawk,Kākāpō
Antipodean Albatross,Southern Brown Kiwi,Tūī,Royal Spoonbill,Rockhopper Penguin
Kākāpō,Antipodean Albatross,Yellow-eyed penguin,Chatham Island Oystercatcher,New Zealand Falcon
South Island Kōkako,Little Spotted Kiwi,Southern Brown Kiwi,Yellow-eyed penguin,Tūī
Orange-fronted Parakeet,Mōhua,South Island Kōkako,Banded Dotterel,NA
Mōhua,Kākāpō,Little Spotted Kiwi,Blue Duck,Yellow-eyed penguin
Morepork,Buller's Mollymawk,Tūī,New Zealand Falcon,Yellow-eyed penguin
Kākāpō,Rockhopper Penguin,Harrier,Kākā,New Zealand Falcon
South Island Kōkako,Tūī,Rockhopper Penguin,Yellow-eyed penguin,Blue Duck
Fairy Tern,Southern Brown Kiwi,Yellow-eyed penguin,Kākāpō,Gibson's Albatross
Kea,Blue Duck,Black-billed Gull,Orange-fronted Parakeet,Fairy Tern
Yellow-eyed penguin,Tūī,Fantail,Blue Duck,New Zealand Falcon
Kākāpō,Kākā,Little Spotted Kiwi,Mōhua,Orange-fronted Parakeet
Whenua Hou Diving Petrel,Yellow-eyed penguin,Gibson's Albatross,Fiordland Crested Penguin,Antipodean Albatross
Silvereye,Kōkako,Rock Wren,Rifleman,Tomtit
Yellow-eyed penguin,Rockhopper Penguin,NA,NA,NA
Kākāpō,Kingfisher,Little Penguin,Tūī,Mōhua
Little Penguin,Kākāpō,Bittern,Barn Owl,Great Spotted Kiwi
Kākāpō,Kea,Rifleman,Grey Warbler,Takahē
Black-billed Gull,Little Penguin,Pūkeko,Tūī,Southern Royal Albatross
Kākā,Kākāpō,Great Spotted Kiwi,Black Robin,Black Stilt
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Kōkako,Tūī,Takahē,Kererū,Kākā
Takahē,Banded Dotterel,Blue Duck,Kea,Hutton's Shearwater
Yellow-eyed penguin,NA,NA,NA,NA
Fiordland Crested Penguin,Yellow-eyed penguin,NA,NA,NA
Kea,Kākā,Kākāpō,Little Penguin,Little Spotted Kiwi
Black Robin,New Zealand Robin,Stitchbird,Tomtit,Fantail
Yellow-eyed penguin,Morepork,Kākāpō,Barn Owl,Antipodean Albatross
Stitchbird,Black Robin,Takahē,Morepork,Kingfisher
Orange-fronted Parakeet,Fiordland Crested Penguin,Blue Duck,Yellow-eyed penguin,Little Spotted Kiwi
Kākā,Little Penguin,New Zealand Falcon,Morepork,Kererū
Stitchbird,Mōhua,Tomtit,Bittern,Blue Duck
Kōkako,Bittern,Banded Dotterel,Whitehead,Yellow-eyed penguin
Harrier,New Zealand Robin,Tomtit,Saddleback,Northern Royal Albatross
New Zealand Falcon,Morepork,Little Penguin,Bellbird,Salvin's Mollymawk
Hutton's Shearwater,Yellow-eyed penguin,Kererū,Banded Dotterel,Antipodean Albatross
Yellow-eyed penguin,NA,NA,NA,NA
Wrybill,Grey Duck,Shore Plover,Blue Duck,Bittern
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Takahē,Blue Duck,Mōhua,Australasian Crested Grebe
Black Robin,Banded Dotterel,Tomtit,Kingfisher,New Zealand Robin
Kea,New Zealand Falcon,Tūī,Kākā,Orange-fronted Parakeet
Pūkeko,Fantail,Tūī,Morepork,Bellbird
Yellow-eyed penguin,NA,NA,NA,NA
Australasian Crested Grebe,Banded Dotterel,Barn Owl,Yellow-eyed penguin,New Zealand Falcon
Yellow-eyed penguin,Little Spotted Kiwi,Kākā,Antipodean Albatross,Saddleback
Kākā,New Zealand Falcon,Southern Brown Kiwi,Stitchbird,Kea
Yellow-eyed penguin,NA,NA,NA,NA
Southern Brown Kiwi,Mōhua,South Island Kōkako,Stitchbird,Orange-fronted Parakeet
Yellow-eyed penguin,NA,NA,NA,NA
Mōhua,Black Stilt,Black Robin,New Zealand Dotterel,Chatham Island Mollymawk
Yellow-eyed penguin,Antipodean Albatross,Little Penguin,NA,NA
Yellow-eyed penguin,Black Robin,Blue Duck,Orange-fronted Parakeet,Fairy Tern
Yellow-eyed penguin,NA,NA,NA,NA
Stitchbird,Grey Warbler,Saddleback,Kākāpō,New Zealand Falcon
Stitchbird,Black Robin,Grey Warbler,Kingfisher,Tūī
Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,Antipodean Albatross,Hutton's Shearwater
Kākāpō,South Island Kōkako,Saddleback,Tomtit,White Heron
Black Robin,Whitehead,Rock Wren,Mōhua,Rifleman
Kererū,Antipodean Albatross,Kākāpō,Little Spotted Kiwi,Chatham Island Mollymawk
Rockhopper Penguin,Kākā,Kākāpō,Gibson's Albatross,Yellow-eyed penguin
Tūī,North Island Brown Kiwi,Bar-tailed Godwit,South Island Pied Oystercatcher,New Zealand Dotterel
Gibson's Albatross,Yellow-eyed penguin,Chatham Island Mollymawk,Black Robin,Bellbird
Kererū,Kākāpō,Little Spotted Kiwi,Chatham Island Oystercatcher,South Island Kōkako
Kea,Kākā,Kākāpō,Little Spotted Kiwi,Southern Brown Kiwi
New Zealand Falcon,Antipodean Albatross,Mōhua,Arctic Skua,Bellbird
Kea,New Zealand Dotterel,Antipodean Albatross,Black Robin,Yellow-eyed penguin
Banded Dotterel,Orange-fronted Parakeet,Kea,Black Robin,Kākā
Kākāpō,Rock Wren,Kea,Kererū,Great Spotted Kiwi
Yellow-eyed penguin,New Zealand Falcon,Takahē,Little Penguin,Blue Duck
Fantail,Antipodean Albatross,Southern Brown Kiwi,Black Robin,Rock Wren
Fiordland Crested Penguin,Kākāpō,Kea,Fantail,Tūī
Stitchbird,Takahē,Tomtit,Saddleback,Rifleman
Little Penguin,Morepork,Pūkeko,New Zealand Falcon,Fantail
New Zealand Falcon,Harrier,Morepork,Barn Owl,Fantail
Yellow-eyed penguin,Antipodean Albatross,Black Robin,Chatham Island Mollymawk,Chatham Island Oystercatcher
Australasian Gannet,Blue Duck,Yellow-eyed penguin,Rockhopper Penguin,New Zealand Dabchick
Bittern,Black Robin,Kākā,Little Spotted Kiwi,Southern Brown Kiwi
New Zealand Dotterel,Southern Brown Kiwi,Great Spotted Kiwi,Banded Dotterel,North Island Brown Kiwi
Southern Brown Kiwi,Great Spotted Kiwi,Rockhopper Penguin,Kākāpō,Little Spotted Kiwi
Black Robin,Black Petrel,Black Stilt,New Zealand Falcon,Yellow-eyed penguin
Fantail,Fiordland Crested Penguin,Southern Brown Kiwi,Stitchbird,Tūī
Kererū,Orange-fronted Parakeet,Bittern,Banded Dotterel,Antipodean Albatross
Yellow-eyed penguin,Kākāpō,Little Spotted Kiwi,Fiordland Crested Penguin,Kākā
Rockhopper Penguin,Yellow-eyed penguin,Stitchbird,Fairy Tern,New Zealand Dotterel
Whenua Hou Diving Petrel,Black Stilt,Orange-fronted Parakeet,Banded Dotterel,Mōhua
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Banded Dotterel,New Zealand Dotterel,Kingfisher,Black Robin,Fairy Tern
Rockhopper Penguin,Royal Spoonbill,Little Spotted Kiwi,Chatham Island Oystercatcher,Rifleman
Banded Dotterel,Whenua Hou Diving Petrel,Bittern,New Zealand Dotterel,Orange-fronted Parakeet
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Kākā,Fantail,Black Robin,NA
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Banded Dotterel,Orange-fronted Parakeet,New Zealand Dotterel,South Island Kōkako
Yellow-eyed penguin,NA,NA,NA,NA
Black-billed Gull,Banded Dotterel,Morepork,Bar-tailed Godwit,Tūī
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,New Zealand Robin,New Zealand Dabchick,Southern Brown Kiwi,Rockhopper Penguin
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Tūī,Southern Royal Albatross
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Fantail,Yellow-eyed penguin,New Zealand Dotterel,Black Robin
Fernbird,Little Penguin,Rock Wren,Wrybill,Banded Dotterel
Southern Brown Kiwi,Blue Duck,Campbell Black-Browed Albatross,Variable Oystercatcher,Westland Petrel
Bittern,Royal Spoonbill,NA,NA,NA
Kererū,Australasian Crested Grebe,Kākā,Bellbird,Antipodean Albatross
Barn Owl,Harrier,Bittern,NA,NA
Yellow-eyed penguin,Fernbird,Fairy Tern,Wrybill,Black Petrel
Tūī,Fantail,Kākā,New Zealand Dotterel,Orange-fronted Parakeet
Yellow-eyed penguin,Rifleman,Fernbird,The Otago Shag,Orange-fronted Parakeet
Kākāpō,NA,NA,NA,NA
Yellow-eyed penguin,Kea,New Zealand Falcon,The Otago Shag,Fernbird
South Island Kōkako,Kākāpō,Kākā,Yellow-eyed penguin,Little Spotted Kiwi
Little Spotted Kiwi,Black Robin,Blue Duck,Kākāpō,Fiordland Crested Penguin
Kākāpō,Rockhopper Penguin,Little Penguin,Scaup,Kākā
Black Robin,Rockhopper Penguin,Yellow-eyed penguin,Gibson's Albatross,Chatham Island Oystercatcher
Blue Duck,Southern Brown Kiwi,Variable Oystercatcher,Campbell Black-Browed Albatross,Westland Petrel
Black Robin,Banded Dotterel,Bittern,Kea,Kākā
Black Robin,Rifleman,Kākāpō,Shore Plover,Stitchbird
Yellow-eyed penguin,NA,NA,NA,NA
Kākāpō,Little Spotted Kiwi,Yellow-eyed penguin,South Island Kōkako,Shore Plover
Kākāpō,Orange-fronted Parakeet,Kea,Australasian Crested Grebe,Stitchbird
South Island Kōkako,Kōkako,Australasian Crested Grebe,Blue Duck,Bittern
Banded Dotterel,Black Robin,Kākāpō,Mōhua,Rifleman
Blue Duck,Fiordland Crested Penguin,Rock Wren,Mōhua,Little Spotted Kiwi
Yellow-eyed penguin,Black Robin,Blue Duck,Little Penguin,Fiordland Crested Penguin
Fiordland Crested Penguin,Kingfisher,Kākā,Rockhopper Penguin,Morepork
Black Robin,Kākāpō,New Zealand Falcon,Mōhua,Blue Duck
Rifleman,Orange-fronted Parakeet,Mōhua,Wrybill,Kākā
Takahē,NA,NA,NA,NA
Kākāpō,Mōhua,New Zealand Dotterel,Yellow-eyed penguin,Whenua Hou Diving Petrel
Kākāpō,Orange-fronted Parakeet,Fairy Tern,Banded Dotterel,New Zealand Falcon
Black Stilt,NA,NA,NA,NA
Australasian Crested Grebe,Barn Owl,Black Robin,Black-fronted Tern,Little Spotted Kiwi
Yellow-eyed penguin,Chatham Island Oystercatcher,Rockhopper Penguin,Fiordland Crested Penguin,South Island Pied Oystercatcher
Kākāpō,Orange-fronted Parakeet,Kererū,Chatham Island Oystercatcher,Black Stilt
Morepork,Kākā,Tūī,Pūkeko,Kererū
Kingfisher,Saddleback,Banded Dotterel,Shore Plover,Kākā
Antipodean Albatross,Black Robin,Blue Duck,Chatham Island Mollymawk,Kākā
Yellow-eyed penguin,Whenua Hou Diving Petrel,Gibson's Albatross,Orange-fronted Parakeet,Chatham Island Oystercatcher
Morepork,Rockhopper Penguin,Grey Warbler,Bittern,Shore Plover
Yellow-eyed penguin,The Otago Shag,Kākā,Antipodean Albatross,Chatham Island Oystercatcher
Black Robin,Fantail,Rifleman,The Otago Shag,Tomtit
Mōhua,Shore Plover,Black Robin,Hutton's Shearwater,Bittern
Bittern,Black Robin,Little Spotted Kiwi,Morepork,Mōhua
Morepork,Antipodean Albatross,Chatham Island Mollymawk,The Otago Shag,South Island Kōkako
Rockhopper Penguin,Bar-tailed Godwit,Blue Duck,Gibson's Albatross,Kea
Fantail,Black Robin,Little Penguin,Kea,Blue Duck
Kākāpō,Kākā,Yellow-eyed penguin,Little Spotted Kiwi,Black Robin
Royal Spoonbill,Chatham Island Oystercatcher,Kākā,Fiordland Crested Penguin,Variable Oystercatcher
Kākāpō,Yellow-eyed penguin,Black Robin,Little Spotted Kiwi,South Island Kōkako
Rockhopper Penguin,Banded Dotterel,Black Robin,Royal Spoonbill,Chatham Island Mollymawk
Morepork,South Island Kōkako,Kākā,Black Robin,Bellbird
Australasian Crested Grebe,Saddleback,Kingfisher,Silvereye,Little Penguin
Black-fronted Tern,Blue Duck,Campbell Black-Browed Albatross,Fiordland Crested Penguin,North Island Brown Kiwi
Yellow-eyed penguin,Chatham Island Oystercatcher,Kākā,Tomtit,Rock Wren
Kākāpō,Southern Brown Kiwi,Black Robin,Little Spotted Kiwi,Fairy Tern
Kākāpō,NA,NA,NA,NA
Kea,Kākā,Kākāpō,New Zealand Robin,Black-fronted Tern
Wrybill,NA,NA,NA,NA
Yellow-eyed penguin,Black Robin,Black Stilt,Chatham Island Oystercatcher,Little Spotted Kiwi
Black Robin,Rockhopper Penguin,Morepork,Takahē,Yellow-eyed penguin
Fantail,Kākā,Bellbird,Black Robin,Banded Dotterel
Yellow-eyed penguin,Southern Royal Albatross,Black Robin,Chatham Island Mollymawk,Morepork
Kākāpō,Kererū,Kea,Pūkeko,Takahē
Yellow-eyed penguin,Banded Dotterel,Antipodean Albatross,Southern Royal Albatross,Black Robin
Blue Duck,Little Penguin,Chatham Island Oystercatcher,Little shag,New Zealand Falcon
Yellow-eyed penguin,Chatham Island Mollymawk,Kōkako,Kākāpō,Kākā
Kererū,Kākāpō,Yellow-eyed penguin,Takahē,Blue Duck
Banded Dotterel,Bar-tailed Godwit,Chatham Island Oystercatcher,Black Robin,Blue Duck
Yellow-eyed penguin,Antipodean Albatross,Bellbird,Kākāpō,Rockhopper Penguin
Yellow-eyed penguin,Southern Royal Albatross,Rockhopper Penguin,Fiordland Crested Penguin,Little Penguin
Kea,New Zealand Robin,Blue Duck,Banded Dotterel,Black Stilt
Yellow-eyed penguin,New Zealand Falcon,Blue Duck,Kea,Kingfisher
Blue Duck,Black-billed Gull,Black Robin,Banded Dotterel,Antipodean Albatross
Banded Dotterel,Yellow-eyed penguin,Blue Duck,Bar-tailed Godwit,Kōkako
Fiordland Crested Penguin,New Zealand Falcon,North Island Brown Kiwi,Black Robin,Black-billed Gull
Chatham Island Oystercatcher,Saddleback,Fiordland Crested Penguin,Kākā,Morepork
Kākā,Grey Duck,Yellow-eyed penguin,Black Robin,Antipodean Albatross
Whenua Hou Diving Petrel,Rock Wren,Shore Plover,Blue Duck,Bittern
Yellow-eyed penguin,New Zealand Falcon,Harrier,Kākā,Fairy Tern
Antipodean Albatross,Southern Brown Kiwi,Southern Royal Albatross,Yellow-eyed penguin,Saddleback
Yellow-eyed penguin,Rockhopper Penguin,Fiordland Crested Penguin,Great Spotted Kiwi,North Island Brown Kiwi
Banded Dotterel,Orange-fronted Parakeet,The Otago Shag,Hutton's Shearwater,Black Stilt
Morepork,Brown Teal,Tūī,Kōkako,Rockhopper Penguin
Yellow-eyed penguin,Kākāpō,Southern Royal Albatross,Saddleback,Bellbird
Tomtit,Stitchbird,New Zealand Robin,Rock Wren,Black Robin
Tomtit,Rockhopper Penguin,Little Penguin,Black Robin,NA
Kingfisher,Kākāpō,Orange-fronted Parakeet,Little Penguin,Little Spotted Kiwi
Southern Brown Kiwi,Black Robin,New Zealand Dotterel,Yellow-eyed penguin,Banded Dotterel
Yellow-eyed penguin,Kererū,Kākāpō,Kea,Banded Dotterel
Little Penguin,Variable Oystercatcher,Kea,Yellow-eyed penguin,Fiordland Crested Penguin
Weka,Chatham Island Oystercatcher,Rockhopper Penguin,Stitchbird,Silvereye
Kākā,Black Robin,Gibson's Albatross,Antipodean Albatross,Mōhua
Blue Duck,Fantail,Welcome Swallow,Kingfisher,Black Robin
Silvereye,Antipodean Albatross,Bellbird,Grey Warbler,Kingfisher
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Fiordland Crested Penguin,Black Petrel
Saddleback,NA,NA,NA,NA
Tomtit,Kingfisher,Fantail,Silvereye,Little Spotted Kiwi
Royal Spoonbill,Black Robin,North Island Brown Kiwi,Rockhopper Penguin,Southern Brown Kiwi
Yellow-eyed penguin,New Zealand Dotterel,Kākā,Antipodean Albatross,Gibson's Albatross
Fairy Tern,Pūkeko,Bittern,Banded Dotterel,New Zealand Dotterel
New Zealand Falcon,Banded Dotterel,Kōkako,Black Robin,Morepork
Yellow-eyed penguin,Little Penguin,Welcome Swallow,Kererū,Gibson's Albatross
Yellow-eyed penguin,Buller's Mollymawk,Banded Dotterel,Black Robin,Blue Duck
Kingfisher,Kākā,New Zealand Robin,Rifleman,South Island Kōkako
Kākā,Takahē,Kākāpō,Tūī,Buller's Mollymawk
Wrybill,NA,NA,NA,NA
Yellow-eyed penguin,Australasian Crested Grebe,Banded Dotterel,Black Robin,Black Stilt
Kākāpō,Rifleman,Kōkako,Stitchbird,New Zealand Robin
Stitchbird,NA,NA,NA,NA
Yellow-eyed penguin,Saddleback,Kōkako,Kākāpō,Blue Duck
Yellow-eyed penguin,NA,NA,NA,NA
New Zealand Dotterel,Southern Brown Kiwi,Antipodean Albatross,Mōhua,The Otago Shag
Orange-fronted Parakeet,Kākā,Morepork,Little shag,White Heron
Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,South Island Kōkako
Blue Duck,Kākā,Black Robin,Yellow-eyed penguin,Gibson's Albatross
Hutton's Shearwater,Royal Spoonbill,Variable Oystercatcher,Chatham Island Oystercatcher,Fairy Tern
Southern Brown Kiwi,North Island Brown Kiwi,Kākāpō,Orange-fronted Parakeet,Bittern
Yellow-eyed penguin,New Zealand Dabchick,North Island Brown Kiwi,Chatham Island Mollymawk,Stitchbird
New Zealand Falcon,Black Robin,Rockhopper Penguin,Rifleman,Rock Wren
Yellow-eyed penguin,Black Robin,Kererū,Banded Dotterel,Antipodean Albatross
New Zealand Robin,New Zealand Falcon,Kea,Blue Duck,Kererū
Yellow-eyed penguin,NA,NA,NA,NA
Stitchbird,Hutton's Shearwater,Black Robin,Saddleback,Fairy Tern
Yellow-eyed penguin,Fiordland Crested Penguin,Rockhopper Penguin,Little Penguin,South Island Kōkako
Antipodean Albatross,Banded Dotterel,Buller's Mollymawk,Fairy Tern,New Zealand Dabchick
Yellow-eyed penguin,Orange-fronted Parakeet,Southern Brown Kiwi,Antipodean Albatross,Kōkako
Yellow-eyed penguin,Arctic Skua,Antipodean Albatross,Pied Shag,Little Penguin
Blue Duck,Grey Warbler,Bellbird,New Zealand Falcon,Morepork
Kākā,Yellow-eyed penguin,South Island Kōkako,Rockhopper Penguin,Black Robin
Barn Owl,Takahē,Royal Spoonbill,Kea,Little Spotted Kiwi
Yellow-eyed penguin,NA,NA,NA,NA
Black Robin,Banded Dotterel,Kingfisher,Welcome Swallow,Rifleman
Kākāpō,Yellow-eyed penguin,South Island Kōkako,Antipodean Albatross,Black Robin
Kākāpō,NA,NA,NA,NA
Black Robin,Black-billed Gull,Blue Duck,Little Penguin,Little Spotted Kiwi
Black Robin,Black Stilt,Kākāpō,Yellow-eyed penguin,Southern Brown Kiwi
Yellow-eyed penguin,Little Penguin,Fiordland Crested Penguin,Rockhopper Penguin,NA
Stitchbird,South Island Kōkako,Banded Dotterel,Kākāpō,Kea
Morepork,NA,NA,NA,NA
Yellow-eyed penguin,Black Robin,Fantail,Kererū,New Zealand Falcon
Fantail,North Island Brown Kiwi,Kea,Kākāpō,Stitchbird
Little Penguin,Rockhopper Penguin,Yellow-eyed penguin,Kākā,Southern Brown Kiwi
Southern Brown Kiwi,Blue Duck,Little Spotted Kiwi,Whenua Hou Diving Petrel,Chatham Island Mollymawk
Banded Dotterel,Yellow-eyed penguin,Shore Plover,New Zealand Dotterel,Southern Brown Kiwi
Chatham Island Mollymawk,Banded Dotterel,Fairy Tern,New Zealand Dotterel,Shore Plover
Blue Duck,Bar-tailed Godwit,Morepork,Tūī,Bellbird
Yellow-eyed penguin,Antipodean Albatross,Black Robin,Gibson's Albatross,Kererū
Fernbird,Yellow-eyed penguin,South Island Kōkako,Banded Dotterel,Black Robin
Yellow-eyed penguin,Black Robin,Bittern,Barn Owl,Bar-tailed Godwit
Fiordland Crested Penguin,Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Morepork
Kākāpō,Rifleman,Chatham Island Oystercatcher,Little Spotted Kiwi,Black Robin
Kererū,Little Spotted Kiwi,Stitchbird,Rockhopper Penguin,Orange-fronted Parakeet
Southern Brown Kiwi,Great Spotted Kiwi,North Island Brown Kiwi,Pūkeko,Little Spotted Kiwi
